"refseq_mrna","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001256477","ENSG00000134326",528.345262140662,-8.01330248349161,0.430960410626312,-18.5940571010825,3.58969527077701e-77,3.0428949386559e-74
"NM_001256478","ENSG00000134326",335.830796194906,-7.47254296104973,0.448513952081793,-16.6606700334865,2.53172241881249e-62,1.2623987066864e-59
"NM_001256765","ENSG00000134470",287.167844974078,-1.74665373249043,0.260195094790341,-6.7128618773457,1.90843749514885e-11,1.33146893308666e-09
"NM_001257118","ENSG00000137752",346.249145083544,-2.06325177556881,0.317512229611691,-6.49818048927475,8.12972358544707e-11,5.31126276708582e-09
"NM_001257119","ENSG00000137752",345.726744134636,-2.06055308772078,0.317412220239435,-6.49172576331948,8.48586243325201e-11,5.53327187546685e-09
"NM_001257135","ENSG00000128342",14.0908146229376,-1.6263845214188,0.602086459851505,-2.70124746173484,0.00690799191380138,0.084988854071576
"NM_001257408","ENSG00000161405",9.89185549035713,1.52088350883173,1.1070914378562,1.37376503586443,0.169514639036551,0.589269890654318
"NM_001257988","ENSG00000025708",139.576961615201,-2.06157487330563,0.319107974394732,-6.4604304458888,1.04405572880977e-10,6.7174188988146e-09
"NM_001257989","ENSG00000025708",138.129502155385,-2.05345508034971,0.312940524390037,-6.56180622293059,5.31598704005536e-11,3.5692905458843e-09
"NM_001258276","ENSG00000164484",14.3220169109191,1.59957975801219,0.812706979614477,1.96821215780746,0.0490436319726387,0.313423640716067
"NM_001258277","ENSG00000164484",14.3220169109191,1.59957975801219,0.812706979614477,1.96821215780746,0.0490436319726387,0.313423640716067
"NM_001258278","ENSG00000164484",13.7067528288316,1.60718832722868,0.827963964797723,1.94113318400436,0.0522421249406004,0.325131209735899
"NM_001261825","ENSG00000135114",1562.92883167794,-7.67326305097625,0.697162770697578,-11.0064153932064,3.55883055401388e-28,6.55811236929069e-26
"NM_001267822","ENSG00000141497",11.3502158134746,-2.19280527812586,1.08327435138944,-2.02423815842524,0.0429456531526366,0.288862975887016
"NM_001270507","ENSG00000118503",521.304479141531,-1.98256702294185,0.188920676925318,-10.4941770017348,9.18748425262382e-26,1.53458142144688e-23
"NM_001270508","ENSG00000118503",521.639445938605,-1.98113114487044,0.188772570587079,-10.4948040846674,9.12668481773517e-26,1.53197278274726e-23
"NM_001270927","ENSG00000185745",24664.2216732629,-7.69036756428,0.395849156613613,-19.4275203970853,4.5165988678772e-84,5.67201177085601e-81
